track_id,final_jump_count,final_single_count,final_double_count,last_state,last_seen_t,best_conf_seen
5,35,35,0,STOPPED_ACTIVE,42.24,0.9471022486686707
6,22,20,2,STOPPED_ACTIVE,38.36,0.9449833631515503
2,14,14,0,STOPPED_ACTIVE,15.32,0.9406577944755554
1,4,4,0,JUMPING,5.4,0.9301633834838867
30,4,4,0,STOPPED_ACTIVE,74.2,0.9178867340087891
10,3,3,0,JUMPING,8.96,0.9307449460029602
25,3,3,0,JUMPING,45.32,0.8696520924568176
26,3,3,0,STOPPED_ACTIVE,49.68,0.8975034356117249
8,2,2,0,STOPPED_ACTIVE,13.08,0.9372044801712036
17,2,2,0,JUMPING,44.44,0.8913300633430481
28,2,0,2,STOPPED_ACTIVE,48.88,0.873845100402832
14,1,1,0,JUMPING,27.6,0.763690710067749
15,1,1,0,STOPPED_ACTIVE,31.2,0.8695523738861084
4,0,0,0,IDLE,0.24,0.7046909332275391
3,0,0,0,IDLE,2.0,0.9364814758300781
7,0,0,0,IDLE,4.72,0.940596878528595
9,0,0,0,IDLE,7.48,0.3620120584964752
11,0,0,0,IDLE,13.32,0.9071510434150696
13,0,0,0,IDLE,17.56,0.38087162375450134
16,0,0,0,IDLE,28.72,0.3511126637458801
18,0,0,0,IDLE,33.84,0.8101531863212585
19,0,0,0,IDLE,35.16,0.34811103343963623
20,0,0,0,IDLE,35.16,0.7759997844696045
21,0,0,0,IDLE,38.48,0.32152146100997925
24,0,0,0,IDLE,40.48,0.3062240481376648
22,0,0,0,IDLE,40.76,0.7984271049499512
12,0,0,0,IDLE,42.48,0.9323835372924805
23,0,0,0,IDLE,43.64,0.8964130282402039
29,0,0,0,IDLE,46.72,0.3810713291168213
31,0,0,0,IDLE,59.96,0.904679000377655
32,0,0,0,IDLE,69.56,0.9047861695289612
27,0,0,0,IDLE,74.2,0.9306192398071289
33,0,0,0,IDLE,74.16,0.9080618619918823
