frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
0,0.0,0.893272876739502,77.44180000736378,889.0440673828125,558.77490234375,0.0,False,103.97940063476562,False,0,0,0,unknown,0.0,0.0,IDLE,,860.6508178710938
1,0.04,0.9064333438873291,71.22630000230856,892.0404052734375,557.9190673828125,1.2784353494644165,False,109.79277801513672,False,0,0,0,unknown,0.0,0.0,IDLE,,860.7873229980469
2,0.08,0.8961034417152405,85.21079999627545,893.386474609375,556.22412109375,1.708446979522705,False,109.41602325439453,False,0,0,0,unknown,0.0,0.0,IDLE,,858.9348220825195
3,0.12,0.8928881287574768,51.277599995955825,893.5482788085938,554.860107421875,1.3675400018692017,False,105.56560516357422,False,0,0,0,unknown,0.0,0.0,IDLE,,864.4044342041016
4,0.16,0.8961954712867737,66.7292999860365,892.119384765625,555.0422973632812,0.9459336400032043,False,108.65967559814453,False,0,0,0,single,0.0,0.0,IDLE,,862.4873542785645
5,0.2,0.8946138024330139,62.10559999453835,891.212646484375,555.3143920898438,1.2466098070144653,False,111.99412536621094,False,0,0,0,single,0.0,0.0,IDLE,,850.932861328125
6,0.24,0.8741996884346008,55.33770000329241,890.554443359375,555.8794555664062,0.6326085925102234,False,108.98771667480469,False,0,0,0,single,0.0,0.0,IDLE,,855.4042282104492
7,0.28,0.8748169541358948,52.69189999671653,893.8590087890625,557.1151733398438,1.7524957656860352,False,110.095458984375,False,0,0,0,single,0.0,0.0,IDLE,,859.3350677490234
8,0.32,0.8810005784034729,44.85949999070726,893.638427734375,557.6281127929688,0.5551771521568298,False,107.44496154785156,False,0,0,0,single,0.0,0.0,IDLE,,855.831356048584
9,0.36,0.8762011528015137,48.33560000406578,893.5255737304688,557.5691528320312,0.09345556795597076,False,108.37373352050781,False,0,0,0,single,0.0,0.0,IDLE,1243.0986590576172,856.6392974853516
10,0.4,0.8782922029495239,44.708300003549084,892.3529052734375,557.6192016601562,1.35273277759552,False,107.15868377685547,False,0,0,0,single,0.0,0.0,IDLE,1242.8889465332031,861.3151473999023
11,0.44,0.8815314769744873,75.04080000217073,893.2401733398438,558.1077270507812,0.509043276309967,False,105.81785583496094,False,0,0,0,single,0.0,0.0,IDLE,1242.8033319091796,851.5171966552734
12,0.48,0.882883608341217,81.49700000649318,892.541748046875,558.5520629882812,0.7084286212921143,False,107.06769561767578,False,0,0,0,single,0.0,0.0,IDLE,1242.7177172851561,851.0548782348633
13,0.52,0.8811970949172974,62.93760001426563,891.2774658203125,559.2122192382812,0.7959005832672119,False,109.16240692138672,False,0,0,0,single,0.0,0.0,IDLE,1242.559803466797,841.669189453125
14,0.56,0.8903265595436096,52.47120000422001,890.5927734375,560.0258178710938,1.1758123636245728,False,108.59976959228516,False,0,0,0,single,0.0,0.0,IDLE,1242.4018896484376,839.0524520874023
15,0.6,0.9009377360343933,43.49700000602752,890.1400146484375,560.0838623046875,0.6911623477935791,False,110.34962463378906,False,0,0,0,single,0.0,0.0,IDLE,1242.243975830078,842.0145721435547
16,0.64,0.8948838114738464,50.98209998686798,888.42333984375,560.1631469726562,0.38639551401138306,False,112.0184097290039,False,0,0,0,single,0.0,0.0,IDLE,1242.0860620117187,837.3855514526367
17,0.68,0.8997436761856079,48.22029999922961,886.8273315429688,560.128662109375,0.4366665482521057,False,113.75267028808594,False,0,0,0,single,0.0,0.0,IDLE,1242.0624011230468,845.9328117370605
18,0.72,0.891973614692688,47.31410002568737,885.8804931640625,559.966552734375,1.2212562561035156,False,113.6697998046875,False,0,0,0,single,0.0,0.0,IDLE,1242.038740234375,837.6361083984375
19,0.76,0.8837155103683472,53.673199989134446,885.0191650390625,559.4435424804688,0.9350891709327698,False,113.50740051269531,False,0,0,0,single,0.0,0.0,IDLE,1242.015079345703,840.8804397583008
