frame_idx,timestamp,conf,person_h,kpt0_x,kpt0_y,kpt1_x,kpt1_y,kpt2_x,kpt2_y,kpt3_x,kpt3_y,kpt4_x,kpt4_y,kpt5_x,kpt5_y,kpt6_x,kpt6_y,kpt7_x,kpt7_y,kpt8_x,kpt8_y,kpt9_x,kpt9_y,kpt10_x,kpt10_y,kpt11_x,kpt11_y,kpt12_x,kpt12_y,kpt13_x,kpt13_y,kpt14_x,kpt14_y,kpt15_x,kpt15_y,kpt16_x,kpt16_y
0,0.0,0.8033900856971741,276.82306587696075,147.7189483642578,152.19578552246094,151.88539123535156,146.06825256347656,143.12777709960938,144.0172882080078,165.80250549316406,136.369384765625,139.06578063964844,133.30099487304688,177.95501708984375,156.587158203125,129.831298828125,157.23602294921875,191.6850128173828,194.9294891357422,111.43186950683594,188.39244079589844,201.72763061523438,220.31263732910156,91.7857437133789,210.43443298339844,165.5283203125,240.9997100830078,136.89840698242188,235.2904510498047,161.04550170898438,292.5007019042969,129.86212158203125,293.01434326171875,143.52442932128906,345.0520935058594,120.23252868652344,348.9830322265625
1,0.03333333333333333,0.7883152961730957,286.75789564847946,148.86660766601562,151.59860229492188,152.90011596679688,145.0807342529297,143.94515991210938,143.71481323242188,165.9354705810547,134.8094482421875,138.9214324951172,133.13499450683594,177.8345489501953,156.281982421875,129.46310424804688,156.99691772460938,190.95428466796875,194.76467895507812,110.78236389160156,187.81219482421875,200.9346160888672,220.21356201171875,90.58332824707031,210.6925811767578,165.71434020996094,240.470703125,136.82089233398438,235.40090942382812,160.89198303222656,290.5181884765625,128.7073211669922,294.13031005859375,146.23878479003906,345.02459716796875,121.75857543945312,351.78363037109375
2,0.06666666666666667,0.7543421387672424,284.3910151720047,149.59017944335938,150.7070770263672,153.40185546875,143.95068359375,144.53062438964844,143.31488037109375,165.8932647705078,133.31150817871094,139.26397705078125,133.06582641601562,177.5170440673828,155.83067321777344,129.6754608154297,156.60018920898438,190.06768798828125,194.6478271484375,110.11363220214844,188.27755737304688,199.78929138183594,219.84280395507812,90.12265014648438,212.9945831298828,165.349609375,240.15280151367188,136.66343688964844,234.86610412597656,160.93759155273438,289.3049621582031,127.79766082763672,290.7292785644531,146.84481811523438,343.7527160644531,123.49317169189453,349.9134521484375
3,0.1,0.783944845199585,287.20794397592545,149.64883422851562,149.85989379882812,153.48377990722656,143.10214233398438,144.5442657470703,142.6514434814453,165.84996032714844,132.60340881347656,139.02012634277344,132.63800048828125,177.19100952148438,155.6499481201172,129.6990509033203,156.45321655273438,189.78794860839844,193.68959045410156,109.00221252441406,188.78529357910156,199.25665283203125,219.62551879882812,88.7674331665039,213.7714080810547,164.83628845214844,240.04493713378906,136.40219116210938,233.9759979248047,158.1814727783203,287.20904541015625,127.26922607421875,283.8424987792969,144.71067810058594,342.1735534667969,126.17752075195312,345.6518249511719
4,0.13333333333333333,0.7967663407325745,284.0477207303047,149.74795532226562,149.10546875,153.5575408935547,142.19253540039062,144.52462768554688,142.07022094726562,165.24005126953125,131.6221923828125,138.72718811035156,132.14208984375,176.51321411132812,154.8260498046875,129.44094848632812,156.6881561279297,189.5836639404297,191.85284423828125,108.25831604003906,189.21766662597656,198.86729431152344,218.08111572265625,88.6899185180664,214.9675750732422,164.6474151611328,238.0694580078125,136.69247436523438,231.99681091308594,156.70950317382812,284.8931884765625,127.68975067138672,276.2641906738281,143.70570373535156,342.2354431152344,127.07183074951172,342.28790283203125
5,0.16666666666666666,0.8203650712966919,283.5106523036957,149.43788146972656,147.9542236328125,153.2540283203125,140.858154296875,144.2445526123047,140.74766540527344,164.96913146972656,130.79229736328125,138.5141143798828,131.34703063964844,176.49102783203125,154.72019958496094,129.24000549316406,156.56494140625,190.03538513183594,191.81031799316406,108.45057678222656,187.9541473388672,199.1417694091797,216.6278076171875,88.92900085449219,213.3742218017578,163.82212829589844,237.6510772705078,135.9484405517578,231.69215393066406,153.74989318847656,285.1178894042969,127.43525695800781,278.3761901855469,141.62428283691406,343.6605224609375,125.00856018066406,344.1290283203125
6,0.2,0.8147966861724854,286.1688379049301,149.074951171875,146.9706268310547,152.9722900390625,139.84507751464844,144.0235595703125,139.59104919433594,164.72080993652344,130.0387420654297,138.53395080566406,130.01351928710938,176.33197021484375,154.22854614257812,129.19400024414062,155.993408203125,190.70645141601562,192.18704223632812,108.79396057128906,186.71067810058594,200.39114379882812,214.7010955810547,89.91175079345703,210.96543884277344,163.63438415527344,237.03231811523438,135.6146697998047,230.9805450439453,155.54222106933594,284.8103942871094,127.27452087402344,276.8453674316406,141.73623657226562,343.8590087890625,125.0602798461914,344.74615478515625
7,0.23333333333333334,0.8150173425674438,285.3946630358696,148.6709747314453,145.37684631347656,152.70098876953125,137.9617919921875,143.562744140625,137.6970977783203,164.5882568359375,129.00784301757812,138.30001831054688,128.73654174804688,176.14724731445312,153.78170776367188,129.10780334472656,155.64329528808594,191.5037384033203,192.09852600097656,109.27715301513672,184.90005493164062,201.32049560546875,209.111328125,91.16197967529297,206.65744018554688,164.13809204101562,236.02305603027344,135.8585968017578,230.49932861328125,157.4445037841797,283.2200927734375,127.05672454833984,276.9317932128906,141.37110900878906,343.64715576171875,125.3894271850586,344.7142639160156
8,0.26666666666666666,0.7845239043235779,287.2219887971878,148.43685913085938,144.906982421875,152.5743408203125,137.20538330078125,143.24562072753906,136.93441772460938,164.60487365722656,128.4324951171875,138.08787536621094,128.1589813232422,176.28494262695312,153.93255615234375,128.88760375976562,155.7452850341797,193.60067749023438,191.66641235351562,108.7507553100586,183.80181884765625,202.8970489501953,203.1072235107422,91.43958282470703,202.5652313232422,165.0565948486328,236.5109405517578,136.3664093017578,231.7793731689453,159.6453857421875,282.58447265625,126.74652862548828,281.21356201171875,143.67454528808594,343.1081848144531,126.11270904541016,345.48394775390625
9,0.3,0.791056752204895,291.4078150987625,148.4508056640625,144.7132110595703,152.4627685546875,136.96559143066406,143.20274353027344,136.7724151611328,164.84030151367188,128.16136169433594,138.3939971923828,128.18861389160156,176.4715576171875,154.08909606933594,128.8526611328125,155.94627380371094,195.06356811523438,189.72608947753906,107.40967559814453,182.9490203857422,204.15391540527344,196.17588806152344,90.2957763671875,197.73553466796875,165.4201202392578,237.85487365722656,136.33056640625,233.60289001464844,162.74681091308594,283.2881774902344,125.90982055664062,284.2416687011719,146.60057067871094,344.3230285644531,126.77423858642578,346.5764465332031
10,0.3333333333333333,0.8101267218589783,286.8014508485794,148.03933715820312,144.89427185058594,152.14291381835938,137.11279296875,142.6760711669922,136.80784606933594,165.00274658203125,128.2908477783203,138.07586669921875,128.86685180664062,176.4657440185547,154.52565002441406,128.57693481445312,156.57034301757812,196.07952880859375,186.4951934814453,105.57431030273438,181.67233276367188,204.4462890625,189.85227966308594,89.36986541748047,192.78932189941406,164.28126525878906,238.2592315673828,135.94342041015625,235.2919464111328,158.5142822265625,284.0043640136719,126.27916717529297,294.0757751464844,142.45433044433594,342.1182861328125,126.71442413330078,344.217529296875
11,0.36666666666666664,0.8048421740531921,284.3812205195427,147.91256713867188,144.71315002441406,151.9808807373047,136.7903289794922,142.4293975830078,136.49087524414062,165.16163635253906,128.02371215820312,137.83819580078125,129.131591796875,176.67111206054688,154.4952850341797,128.1952362060547,156.44921875,196.91209411621094,184.33151245117188,101.90007781982422,180.28628540039062,204.17193603515625,186.0289306640625,85.99119567871094,185.9513702392578,163.64218139648438,239.53306579589844,135.01583862304688,236.61280822753906,157.8363494873047,286.20794677734375,125.88644409179688,297.4445495605469,141.80780029296875,341.6128845214844,125.46358489990234,345.73382568359375
