frame_idx,timestamp,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state
0,0.0,256.5472717285156,36.885047912597656,0.0,False,14.898422241210938,False,0,0,0,unknown,0.0,0.0,IDLE
1,0.03333333333333333,255.55258178710938,37.54491424560547,0.6712490916252136,False,14.137921333312988,False,0,0,0,unknown,0.0,0.0,IDLE
2,0.06666666666666667,256.21136474609375,36.5002555847168,1.061298131942749,False,17.48277473449707,False,0,0,0,unknown,0.0,0.0,IDLE
3,0.1,250.60006713867188,28.65509605407715,8.40062141418457,False,18.455974578857422,False,0,0,0,unknown,0.0,0.0,IDLE
4,0.13333333333333333,248.87416076660156,27.527883529663086,1.1272400617599487,False,18.588916778564453,False,0,0,0,double,0.0,0.0,IDLE
5,0.16666666666666666,249.25051879882812,27.208969116210938,0.4271586239337921,False,18.796606063842773,False,0,0,0,double,0.0,0.0,IDLE
6,0.2,248.19219970703125,26.898557662963867,2.0150046348571777,False,15.54210090637207,False,0,0,0,double,0.0,0.0,IDLE
7,0.23333333333333334,249.0603485107422,26.906341552734375,0.18805788457393646,False,14.92751693725586,False,0,0,0,double,0.0,0.0,IDLE
8,0.26666666666666666,251.78921508789062,30.017288208007812,3.1184070110321045,False,13.410379409790039,True,0,0,0,double,0.0,0.0,IDLE
9,0.3,253.95947265625,31.80068016052246,1.783563256263733,False,11.541525840759277,False,0,0,0,double,0.0,0.0,IDLE
10,0.3333333333333333,263.370849609375,39.754337310791016,7.959000587463379,False,9.598793983459473,False,0,0,0,double,0.0,0.0,IDLE
11,0.36666666666666664,268.02252197265625,43.99665832519531,4.24646520614624,False,9.776354789733887,False,0,0,0,double,0.0,0.0,IDLE
12,0.4,278.26458740234375,55.144622802734375,11.163429260253906,False,9.385947227478027,False,0,0,0,double,0.0,0.0,IDLE
13,0.43333333333333335,283.406982421875,61.480899810791016,6.358502388000488,False,9.120282173156738,False,0,0,0,double,0.0,0.0,IDLE
14,0.4666666666666667,284.8353271484375,63.532981872558594,2.06144118309021,False,8.462855339050293,False,0,0,0,double,0.0,0.0,IDLE
15,0.5,284.41448974609375,64.61709594726562,1.1018333435058594,False,7.925016403198242,False,0,0,0,double,0.0,0.0,IDLE
16,0.5333333333333333,294.47381591796875,76.56893157958984,11.99058723449707,False,7.821115016937256,False,0,0,0,double,0.0,0.0,IDLE
17,0.5666666666666667,300.3783264160156,82.74142456054688,6.188336372375488,False,8.261068344116211,False,0,0,0,double,0.0,0.0,IDLE
18,0.6,302.6865539550781,85.09019470214844,2.3696837425231934,False,8.580842018127441,False,0,0,0,double,0.0,0.0,IDLE
19,0.6333333333333333,303.801025390625,86.02769470214844,0.9525875449180603,False,8.72756576538086,False,0,0,0,double,0.0,0.0,IDLE
20,0.6666666666666666,312.3931884765625,93.57081604003906,7.5453667640686035,False,9.190788269042969,False,0,0,0,double,0.0,0.0,IDLE
21,0.7,317.03082275390625,97.28661346435547,3.7165164947509766,False,8.200277328491211,False,0,0,0,double,0.0,0.0,IDLE
22,0.7333333333333333,313.47296142578125,95.32835388183594,2.157984972000122,False,6.686816692352295,False,0,0,0,double,0.0,0.0,IDLE
23,0.7666666666666667,311.38543701171875,93.77344512939453,1.6786726713180542,False,6.421564102172852,False,0,0,0,double,0.0,0.0,IDLE
24,0.8,309.35186767578125,92.7248306274414,1.0734007358551025,False,6.014892101287842,False,0,0,0,double,0.0,0.0,IDLE
25,0.8333333333333334,308.18292236328125,91.82197570800781,0.9029397368431091,False,5.708466053009033,False,0,0,0,double,0.0,0.0,IDLE
26,0.8666666666666667,307.71209716796875,91.10487365722656,0.7205483317375183,False,6.402676105499268,False,0,0,0,double,0.0,0.0,IDLE
27,0.9,286.5357666015625,68.27001953125,22.872440338134766,False,6.349732398986816,True,0,0,0,double,0.0,0.0,IDLE
28,0.9333333333333333,273.9671630859375,54.444862365722656,13.830286026000977,False,6.312246322631836,True,0,0,0,double,0.0,0.0,IDLE
29,0.9666666666666667,268.3800048828125,47.758697509765625,6.69449520111084,False,5.804421901702881,True,0,0,0,double,0.0,0.0,IDLE
30,1.0,257.8717041015625,37.66206359863281,10.097277641296387,False,6.68350887298584,True,0,0,0,double,0.0,0.0,IDLE
31,1.0333333333333334,253.6363983154297,32.93077087402344,4.73176383972168,False,6.776540756225586,True,0,0,0,double,0.0,0.0,IDLE
32,1.0666666666666667,252.49330139160156,31.84121322631836,1.099709153175354,False,7.896780967712402,True,0,0,0,double,0.0,0.0,IDLE
33,1.1,252.72726440429688,32.585205078125,0.7537161111831665,False,8.022846221923828,True,0,0,0,double,0.0,0.0,IDLE
34,1.1333333333333333,250.32119750976562,29.06406021118164,3.526353359222412,False,8.09405517578125,True,0,0,0,double,0.0,0.0,IDLE
35,1.1666666666666667,248.87606811523438,28.150840759277344,0.9898443222045898,False,8.13464069366455,True,0,0,0,double,0.0,0.0,IDLE
36,1.2,247.86854553222656,27.815776824951172,0.4809081256389618,False,9.091282844543457,True,0,0,0,double,0.0,0.0,IDLE
37,1.2333333333333334,247.927734375,25.99579620361328,1.8206686973571777,False,8.460357666015625,True,0,0,0,double,0.0,0.0,IDLE
38,1.2666666666666666,247.97164916992188,25.383207321166992,0.6840014457702637,False,7.699873924255371,True,0,0,0,double,0.0,0.0,IDLE
39,1.3,251.0706329345703,27.395584106445312,2.0149874687194824,False,7.686976432800293,True,0,0,0,double,0.0,0.0,IDLE
40,1.3333333333333333,252.13027954101562,28.609832763671875,1.2738720178604126,False,7.969440460205078,True,0,0,0,double,0.0,0.0,IDLE
41,1.3666666666666667,259.9459533691406,35.491424560546875,6.948355674743652,False,7.033583641052246,True,0,0,0,double,0.0,0.0,IDLE
42,1.4,264.29931640625,39.238216400146484,3.7660329341888428,False,6.153777599334717,True,0,0,0,double,0.0,0.0,IDLE
43,1.4333333333333333,266.36669921875,41.0850830078125,1.8661167621612549,False,7.1210761070251465,True,0,0,0,double,0.0,0.0,IDLE
44,1.4666666666666666,267.48284912109375,41.71891784667969,0.6706503629684448,False,7.452545166015625,True,0,0,0,double,0.0,0.0,IDLE
45,1.5,274.4076843261719,49.850730895996094,8.135951042175293,False,7.150352478027344,True,0,0,0,double,0.0,0.0,IDLE
46,1.5333333333333334,278.0087585449219,54.48870086669922,4.642745018005371,False,6.594695568084717,True,0,0,0,double,0.0,0.0,IDLE
47,1.5666666666666667,279.8812561035156,56.453582763671875,1.9675381183624268,False,5.84342098236084,True,0,0,0,double,0.0,0.0,IDLE
48,1.6,293.66705322265625,68.08993530273438,11.63761043548584,False,6.000602722167969,True,0,0,0,double,0.0,0.0,IDLE
49,1.6333333333333333,301.35198974609375,74.42894744873047,6.340967655181885,False,6.676236152648926,False,1,0,1,double,0.0,0.0,JUMPING
50,1.6666666666666667,305.53363037109375,76.78797912597656,2.3595969676971436,False,6.6851887702941895,False,1,0,1,double,0.0,0.0,JUMPING
