frame_idx,timestamp,best_conf,infer_ms,jump_count,single_count,double_count,jump_type,spm,state,peak_detected,peak_accepted,cycle_dt,amp,best_high_y,peak_y
0,0.0,0.8919734954833984,45.56469997623935,0,0,0,unknown,0.0,IDLE,False,False,,0.0,,
1,0.04,0.8994433879852295,87.49229996465147,0,0,0,unknown,0.0,IDLE,False,False,,0.0,,
2,0.08,0.8846190571784973,98.94090000307187,0,0,0,unknown,0.0,IDLE,False,False,,0.0,,
3,0.12,0.906267523765564,85.14209999702871,0,0,0,unknown,0.0,IDLE,False,False,,0.0,,
4,0.16,0.9108693599700928,95.40350001771003,0,0,0,double,0.0,IDLE,False,False,,0.0,,
5,0.2,0.9107930660247803,88.86110002640635,0,0,0,double,0.0,IDLE,False,False,,0.0,,
6,0.24,0.900922417640686,65.31969999196008,1,0,1,double,0.0,JUMPING,True,True,,7.217803955078125,416.65113830566406,423.8689422607422
7,0.28,0.7161139249801636,81.8299999809824,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
8,0.32,0.5818795561790466,75.26660000439733,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
9,0.36,0.8796975016593933,63.23000002885237,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
10,0.4,0.9153321981430054,69.24549996620044,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
11,0.44,0.9124318957328796,85.42949997354299,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
12,0.48,0.9176694750785828,137.53659999929368,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
13,0.52,0.8988295197486877,94.6251000277698,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
14,0.56,0.8772270083427429,96.31969995098189,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
15,0.6,0.8927930593490601,111.27629998372868,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
16,0.64,0.8842443227767944,74.00070002768189,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
17,0.68,0.7786831855773926,73.92519997665659,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
18,0.72,0.7835777997970581,79.6762999962084,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
19,0.76,0.8986921310424805,88.77620002022013,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
20,0.8,0.8894721269607544,100.99249996710569,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
21,0.84,0.45295649766921997,85.79240000108257,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
22,0.88,0.8006974458694458,68.25309997657314,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
23,0.92,0.8267228603363037,62.2707000002265,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
24,0.96,0.9021448493003845,82.31330005219206,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
25,1.0,0.8834829926490784,69.20779997017235,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
26,1.04,0.9109245538711548,53.05789998965338,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
27,1.08,0.9205098748207092,64.26140002440661,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
28,1.12,0.9196267127990723,68.9396999659948,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
29,1.16,0.9059432148933411,63.51960002211854,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
30,1.2,0.9025558233261108,68.79470002604648,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
31,1.24,0.9020799398422241,71.62499998230487,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
32,1.28,0.8633243441581726,86.11859998200089,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
33,1.32,0.9014313817024231,57.36080004135147,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
34,1.36,0.9030283689498901,53.908900008536875,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
35,1.4,0.9002861380577087,66.16400001803413,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
36,1.44,0.370879203081131,54.29749999893829,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
37,1.48,0.8755849599838257,55.656100041233,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
38,1.52,0.8745502829551697,53.910399961750954,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
39,1.56,0.9111382365226746,81.52890001656488,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
40,1.6,0.9007624387741089,74.42079996690154,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
41,1.64,0.9016377925872803,54.56780001986772,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
42,1.68,0.9096239805221558,54.460300016216934,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
43,1.72,0.8957094550132751,64.41930000437424,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
44,1.76,0.877303421497345,81.92080003209412,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
45,1.8,0.8546859622001648,79.51930002309382,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
46,1.84,0.7872735857963562,90.86280001793057,1,0,1,double,0.0,JUMPING,False,False,,0.0,,
47,1.88,0.7955613136291504,72.21939996816218,1,0,1,double,0.0,STOPPED,False,False,,0.0,,
48,1.92,0.8045487403869629,67.6437999936752,1,0,1,double,0.0,STOPPED,False,False,,0.0,,
49,1.96,0.7510693073272705,79.79540002997965,2,0,2,double,34.883722767693314,JUMPING,True,True,1.72,29.5379638671875,385.8314514160156,415.3694152832031
50,2.0,0.8114384412765503,73.41979996999726,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
51,2.04,0.8454498648643494,72.69679999444634,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
52,2.08,0.7017398476600647,76.88779995078221,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
53,2.12,0.8540705442428589,83.07629998307675,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
54,2.16,0.9246779680252075,69.2397000384517,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
55,2.2,0.9127039909362793,71.30209996830672,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
56,2.24,0.8841434717178345,70.5725000007078,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
57,2.28,0.9020024538040161,57.329899980686605,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
58,2.32,0.9106111526489258,39.778799982741475,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
59,2.36,0.9079908132553101,102.2091000340879,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
60,2.4,0.8591468334197998,39.32609996991232,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
61,2.44,0.8730828166007996,64.71860001329333,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
62,2.48,0.8839709162712097,57.657099969219416,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
63,2.52,0.6142035722732544,57.764999975916,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
64,2.56,0.9131036996841431,79.46559996344149,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
65,2.6,0.9107057452201843,53.65509999683127,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
66,2.64,0.8890264630317688,53.785900003276765,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
67,2.68,0.5816025733947754,45.530400006100535,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
68,2.72,0.9133491516113281,76.21430000290275,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
69,2.76,0.908748209476471,80.8619000017643,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
70,2.8,0.8998589515686035,64.74780000280589,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
71,2.84,0.4008162319660187,47.90349997347221,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
72,2.88,0.9075055122375488,92.35920000355691,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
73,2.92,0.889473557472229,68.88719997368753,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
74,2.96,0.9038589000701904,77.9144000262022,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
75,3.0,0.8446227312088013,75.01349999802187,2,0,2,double,0.0,JUMPING,False,False,,0.0,,
76,3.04,0.8503587245941162,93.7188999960199,3,0,3,double,42.85714358699566,JUMPING,True,True,1.08,35.19007873535156,381.3841247558594,416.57420349121094
77,3.08,0.8468576669692993,77.54550001118332,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
78,3.12,0.8598158955574036,101.04340000543743,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
79,3.16,0.8914885520935059,86.5763999754563,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
80,3.2,0.9098359942436218,61.65799999143928,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
81,3.24,0.9194111227989197,74.33050003601238,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
82,3.28,0.9101071357727051,56.03739997604862,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
83,3.32,0.914874255657196,48.54350001551211,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
84,3.36,0.9006500244140625,87.16860000276938,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
85,3.4,0.8868615031242371,53.69790003169328,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
86,3.44,0.8755354285240173,68.89070000033826,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
87,3.48,0.8702335953712463,61.365900037344545,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
88,3.52,0.8814946413040161,71.2566000293009,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
89,3.56,0.8772943019866943,73.7068000016734,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
90,3.6,0.8799892067909241,58.04350000107661,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
91,3.64,0.8794799447059631,58.06700000539422,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
92,3.68,0.8798108100891113,55.191799998283386,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
93,3.72,0.9094038605690002,45.45409994898364,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
94,3.76,0.9296455383300781,66.34429999394342,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
95,3.8,0.9320918321609497,43.183800007682294,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
96,3.84,0.9069535732269287,53.29970002640039,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
97,3.88,0.9029093980789185,39.378599962219596,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
98,3.92,0.9111943244934082,53.841999964788556,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
99,3.96,0.9182509779930115,51.04079999728128,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
100,4.0,0.8942567110061646,61.63040001410991,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
101,4.04,0.897881269454956,80.00340004218742,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
102,4.08,0.8946427702903748,92.4273999989964,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
103,4.12,0.8517451882362366,89.4442000426352,3,0,3,double,0.0,JUMPING,False,False,,0.0,,
104,4.16,0.8689262270927429,53.08310000691563,4,0,4,double,45.918369246045614,JUMPING,True,True,1.12,36.9893798828125,383.7661895751953,420.7555694580078
105,4.2,0.9050764441490173,54.23710000468418,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
106,4.24,0.8930957317352295,46.194299997296184,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
107,4.28,0.8948863744735718,82.94309995835647,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
108,4.32,0.902681827545166,66.85320002725348,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
109,4.36,0.9121677279472351,89.69550003530458,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
110,4.4,0.9143639206886292,69.41180001012981,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
111,4.44,0.8933415412902832,65.41869998909533,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
112,4.48,0.9099042415618896,87.01170003041625,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
113,4.52,0.9099534153938293,83.01609999034554,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
114,4.56,0.9074136018753052,67.57820001803339,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
115,4.6,0.8920580148696899,56.15439999382943,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
116,4.64,0.8670278787612915,55.831999983638525,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
117,4.68,0.7393231987953186,52.51269997097552,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
118,4.72,0.8625583648681641,58.287099993322045,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
119,4.76,0.8630800843238831,44.90470001474023,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
120,4.8,0.8879565596580505,79.12340003531426,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
121,4.84,0.9025149941444397,53.14520001411438,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
122,4.88,0.908449113368988,64.68750000931323,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
123,4.92,0.908301591873169,76.98579999851063,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
124,4.96,0.9022026062011719,52.310200000647455,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
125,5.0,0.9016020894050598,45.9499999997206,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
126,5.04,0.9125868082046509,46.727499982807785,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
127,5.08,0.9134255051612854,45.04699999233708,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
128,5.12,0.8960867524147034,42.27920004632324,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
129,5.16,0.867239236831665,54.20309997862205,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
130,5.2,0.7895007133483887,58.62249998608604,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
131,5.24,0.8178813457489014,57.889899995643646,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
132,5.28,0.8961684107780457,62.65310000162572,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
133,5.32,0.8822707533836365,78.48249998642132,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
134,5.36,0.732384979724884,90.59249999700114,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
135,5.4,0.9178506731987,101.44719999516383,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
136,5.44,0.9135644435882568,71.66159996995702,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
137,5.48,0.9134045243263245,66.58679997781292,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
138,5.52,0.9038077592849731,78.87989998562261,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
139,5.56,0.9150621891021729,80.28809999814257,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
140,5.6,0.9042972922325134,66.93789997370914,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
141,5.64,0.890565812587738,84.80470004724339,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
142,5.68,0.8686005473136902,79.12650000071153,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
143,5.72,0.8678564429283142,69.39650001004338,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
144,5.76,0.8752553462982178,63.357000006362796,4,0,4,double,0.0,JUMPING,False,False,,0.0,,
145,5.8,0.8688393831253052,83.48420000402257,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
146,5.84,0.8659589290618896,85.24909999687225,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
147,5.88,0.8826102018356323,69.80820000171661,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
148,5.92,0.9038814306259155,57.44000000413507,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
149,5.96,0.9039807915687561,54.77589997462928,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
150,6.0,0.9160659909248352,53.965099970810115,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
151,6.04,0.9078477621078491,55.4641000344418,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
152,6.08,0.9280945658683777,37.95000002719462,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
153,6.12,0.9125202894210815,40.650100039783865,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
154,6.16,0.884939968585968,60.91360002756119,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
155,6.2,0.8861743807792664,69.91600000765175,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
156,6.24,0.8765460848808289,60.76680001569912,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
157,6.28,0.8623437285423279,58.84499999228865,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
158,6.32,0.8715782165527344,55.78100000275299,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
159,6.36,0.8917689919471741,42.12170001119375,4,0,4,double,0.0,STOPPED,True,False,2.2,0.0,,416.7635803222656
160,6.4,0.906579315662384,42.89939999580383,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
161,6.44,0.9076482057571411,40.35020002629608,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
162,6.48,0.9152761697769165,51.7470000195317,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
163,6.52,0.9120002388954163,57.396499963942915,4,0,4,double,0.0,STOPPED,False,False,,0.0,,
