frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
0,0.0,0.895831286907196,37.89489998598583,209.936279296875,130.42437744140625,0.0,False,14.044815063476562,False,0,0,0,unknown,0.0,0.0,IDLE,,196.88009376525878
1,0.04,0.9107121825218201,36.64340000250377,209.7510223388672,130.6100616455078,0.1860421895980835,False,13.785896301269531,False,0,0,0,unknown,0.0,0.0,IDLE,,197.1667953491211
2,0.08,0.9157460331916809,33.14179999870248,211.100830078125,130.40789794921875,1.0154898166656494,False,13.073800086975098,False,0,0,0,unknown,0.0,0.0,IDLE,,196.70847320556638
3,0.12,0.9309965968132019,34.03079998679459,212.85079956054688,129.9329376220703,0.5407049059867859,False,11.64317798614502,False,0,0,0,unknown,0.0,0.0,IDLE,,198.74993362426756
4,0.16,0.9263806343078613,32.24280002177693,213.12136840820312,129.6499481201172,0.30023205280303955,False,11.860486030578613,False,0,0,0,double,0.0,0.0,IDLE,,197.06877002716064
5,0.2,0.9271239638328552,32.567900023423135,212.50439453125,129.52525329589844,0.3754960000514984,False,12.65788459777832,False,0,0,0,double,0.0,0.0,IDLE,,197.6876863479614
6,0.24,0.9311621785163879,33.53730001254007,212.24188232421875,129.1761932373047,0.5476888418197632,False,13.401193618774414,False,0,0,0,double,0.0,0.0,IDLE,,199.0840330123901
7,0.28,0.9310261607170105,34.13900002487935,210.97227478027344,128.90843200683594,0.6512777209281921,False,13.9077787399292,False,0,0,0,double,0.0,0.0,IDLE,,196.42472763061522
8,0.32,0.919528603553772,33.20999999414198,209.9317626953125,128.77850341796875,0.37255731225013733,False,14.486553192138672,False,0,0,0,double,0.0,0.0,IDLE,,195.8154457092285
9,0.36,0.9199761152267456,32.80280000763014,209.08547973632812,128.51634216308594,0.2683722972869873,False,14.284732818603516,False,0,0,0,double,0.0,0.0,IDLE,295.4485707092285,197.71669120788573
10,0.4,0.9141045212745667,28.56840001186356,208.49298095703125,128.29576110839844,0.2495347410440445,False,14.528487205505371,False,0,0,0,double,0.0,0.0,IDLE,295.4217239379883,198.5687021255493
11,0.44,0.9244584441184998,32.17200000653975,208.89053344726562,127.90886688232422,0.38823026418685913,False,13.920434951782227,False,0,0,0,double,0.0,0.0,IDLE,295.4028239440918,197.6061771392822
12,0.48,0.9188403487205505,33.83000000030734,209.02882385253906,127.49432373046875,0.432966023683548,False,14.310901641845703,False,0,0,0,double,0.0,0.0,IDLE,295.3839239501953,199.20404853820799
13,0.52,0.9183743596076965,30.966199992690235,209.34512329101562,127.17877960205078,0.45860666036605835,False,14.369819641113281,False,0,0,0,double,0.0,0.0,IDLE,295.49884048461917,198.90521011352538
14,0.56,0.9186110496520996,31.62039999733679,209.57986450195312,127.3031234741211,0.14307281374931335,False,13.176945686340332,False,0,0,0,double,0.0,0.0,IDLE,295.7223504638672,199.45319786071775
