frame_idx,timestamp,hip_height,ankle_distance,jump_count,jump_type,state,is_fast,spm,freq_hz,is_airborne,is_jumping,is_jump_rope
0,0.0,156.39071655273438,2.829132080078125,0,unknown,IDLE,False,0.0,0.0,False,False,False
1,0.03333333333333333,157.1697540283203,2.868011474609375,0,unknown,IDLE,False,0.0,0.0,False,False,False
2,0.06666666666666667,156.02901588063713,3.405424839916293,0,unknown,IDLE,False,0.0,0.0,False,False,False
3,0.1,155.17375329808482,4.242552373829554,0,unknown,IDLE,False,0.0,0.0,False,False,False
4,0.13333333333333333,154.91946777128513,3.4551522913865966,0,double,IDLE,False,0.0,0.0,False,False,False
5,0.16666666666666666,155.1402762832701,3.2456568913893022,0,double,IDLE,False,0.0,0.0,False,False,False
6,0.2,155.4696424971903,3.1612084240427407,0,double,IDLE,False,0.0,0.0,False,False,False
7,0.23333333333333334,155.61118851251175,3.1544700005580637,0,double,IDLE,False,0.0,0.0,False,False,False
8,0.26666666666666666,156.13071022351224,3.25488203051745,0,double,IDLE,False,0.0,0.0,False,False,False
9,0.3,156.50892068803668,3.5011158346786146,0,double,IDLE,False,0.0,0.0,False,False,False
10,0.3333333333333333,156.76493212314296,3.6981049970394224,0,double,IDLE,False,0.0,0.0,False,False,False
11,0.36666666666666664,156.93736135810724,3.700550456510115,0,double,IDLE,False,0.0,0.0,False,False,False
12,0.4,157.07620320407858,3.760789010534424,0,double,IDLE,False,0.0,0.0,False,False,False
13,0.43333333333333335,157.10414516767017,3.75803598347548,0,double,IDLE,False,0.0,0.0,False,False,False
14,0.4666666666666667,157.01169254567782,3.597701396726464,0,double,IDLE,False,0.0,0.0,False,False,False
15,0.5,156.9664878664438,3.2414586065314097,0,double,IDLE,False,0.0,0.0,False,False,False
16,0.5333333333333333,156.857818886528,3.3153303960184246,1,double,IDLE,False,0.0,0.0,False,False,False
17,0.5666666666666667,156.8509485496141,3.318886059088811,1,double,IDLE,False,0.0,0.0,False,False,False
18,0.6,156.9386109401916,3.3479139255609454,1,double,IDLE,False,0.0,0.0,False,False,False
19,0.6333333333333333,157.07524764624122,3.422898424531482,1,double,IDLE,False,0.0,0.0,False,False,False
20,0.6666666666666666,157.28552378480737,3.5544068475605854,1,double,IDLE,False,0.0,0.0,False,False,False
21,0.7,157.48131722130853,3.6567620826030804,1,double,IDLE,False,0.0,0.0,False,False,False
22,0.7333333333333333,157.68312143688416,3.8238875952386167,1,double,IDLE,False,0.0,0.0,False,False,False
23,0.7666666666666667,157.77880947230298,3.870198614843929,1,double,IDLE,False,0.0,0.0,False,False,False
24,0.8,157.88592453229137,3.9223510532284394,1,double,IDLE,False,0.0,0.0,False,False,False
25,0.8333333333333334,157.94023698236936,3.9237693646166036,1,double,IDLE,False,0.0,0.0,False,False,False
26,0.8666666666666667,157.856058646448,3.8847848900273476,1,double,IDLE,False,0.0,0.0,False,False,False
27,0.9,157.80613909321858,3.736595156868205,1,double,IDLE,False,0.0,0.0,False,False,False
28,0.9333333333333333,157.7805714059993,3.5823608697696443,2,double,IDLE,False,0.0,0.0,False,False,False
29,0.9666666666666667,157.79088565364015,3.4227073181368866,2,double,IDLE,False,0.0,0.0,False,False,False
30,1.0,157.81021267632963,3.324139219625465,2,double,IDLE,False,0.0,0.0,False,False,False
31,1.0333333333333334,157.88461763463826,3.318295042828254,2,double,IDLE,False,0.0,0.0,False,False,False
32,1.0666666666666667,157.94345959712706,3.2946278901856516,2,double,IDLE,False,0.0,0.0,False,False,False
33,1.1,158.055173945859,3.371162789467604,2,double,IDLE,False,0.0,0.0,False,False,False
34,1.1333333333333333,158.19455364453034,3.450042987760085,2,double,IDLE,False,0.0,0.0,False,False,False
35,1.1666666666666667,158.3209801961516,3.5676519207395643,2,double,IDLE,False,0.0,0.0,False,False,False
36,1.2,158.38379722732813,3.5946568417699467,2,double,IDLE,False,0.0,0.0,False,False,False
37,1.2333333333333334,158.4259155172338,3.5950333868662483,2,double,IDLE,False,0.0,0.0,False,False,False
38,1.2666666666666666,158.42293093215625,3.5096182195969163,2,double,IDLE,False,0.0,0.0,False,False,False
39,1.3,158.44099275649546,3.4136595554424645,2,double,IDLE,False,0.0,0.0,False,False,False
40,1.3333333333333333,158.42177493753505,3.2381050350713565,3,double,IDLE,False,0.0,0.0,False,False,False
41,1.3666666666666667,158.42336855532423,3.181840905843586,3,double,IDLE,False,0.0,0.0,False,False,False
42,1.4,158.411028542403,3.2030877796882464,3,double,IDLE,False,0.0,0.0,False,False,False
43,1.4333333333333333,158.4046766323478,3.1881541662108646,3,double,IDLE,False,0.0,0.0,False,False,False
44,1.4666666666666666,158.43697418338564,3.189772840373166,3,double,IDLE,False,0.0,0.0,False,False,False
45,1.5,158.48206362985374,3.2352948141775784,3,double,IDLE,False,0.0,0.0,False,False,False
46,1.5333333333333334,158.52139692981598,3.314265181624421,3,double,IDLE,False,0.0,0.0,False,False,False
47,1.5666666666666667,158.60487545214923,3.399781897931021,3,double,IDLE,False,0.0,0.0,False,False,False
48,1.6,158.65819947717557,3.428383254107274,3,double,IDLE,False,0.0,0.0,False,False,False
49,1.6333333333333333,158.6915300595012,3.467695302707213,3,double,IDLE,False,0.0,0.0,False,False,False
50,1.6666666666666667,158.66881690231895,3.5519968295894415,3,double,IDLE,False,0.0,0.0,False,False,False
51,1.7,158.62645240341584,3.4458312106064284,3,double,IDLE,False,0.0,0.0,False,False,False
52,1.7333333333333334,158.59355217802477,3.5116410913481957,4,double,IDLE,False,0.0,0.0,False,False,False
53,1.7666666666666666,158.56079541239907,3.557396815725596,4,double,IDLE,False,0.0,0.0,False,False,False
54,1.8,158.55619738584656,3.625170148967257,4,double,IDLE,False,0.0,0.0,False,False,False
55,1.8333333333333333,158.60467807680234,3.6777801968748776,4,double,IDLE,False,0.0,0.0,False,False,False
56,1.8666666666666667,158.63375873952054,3.705646072986326,4,double,IDLE,False,0.0,0.0,False,False,False
57,1.9,158.68530427646698,3.7325342064399933,4,double,IDLE,False,0.0,0.0,False,False,False
58,1.9333333333333333,158.7661807566147,3.82271880489877,4,double,IDLE,False,0.0,0.0,False,False,False
59,1.9666666666666666,158.82458595217355,3.854603182910026,4,double,IDLE,False,0.0,0.0,False,False,False
60,2.0,158.87328388453824,3.9087056863893963,4,double,IDLE,False,0.0,0.0,False,False,False
