frame_idx,timestamp,best_conf,infer_ms,hip_y,head_y,head_move_px,head_drop_event,ankle_distance,is_airborne,jump_count,single_count,double_count,jump_type,freq_hz,spm,state,ground_y,person_h
0,0.0,0.9003463983535767,32.21289999783039,217.57028198242188,84.26105499267578,0.0,False,41.585960388183594,False,0,0,0,unknown,0.0,0.0,IDLE,,280.5151471138001
1,0.04,0.9143529534339905,30.791700002737343,216.64981079101562,83.51451873779297,0.7539624571800232,False,48.3509635925293,False,0,0,0,unknown,0.0,0.0,IDLE,,282.4687683105469
2,0.08,0.9228167533874512,30.81759999622591,217.5951385498047,83.95482635498047,0.44228309392929077,False,39.576194763183594,False,0,0,0,unknown,0.0,0.0,IDLE,,278.1319742202759
3,0.12,0.9072975516319275,33.843699988210574,223.06387329101562,90.43511199951172,6.527159214019775,False,44.2676887512207,False,0,0,0,unknown,0.0,0.0,IDLE,,278.39872341156007
4,0.16,0.9205011129379272,32.576600002357736,219.92236328125,89.7425765991211,0.7008101940155029,False,41.928688049316406,False,0,0,0,single,0.0,0.0,IDLE,,273.8563241958618
5,0.2,0.9110075235366821,33.25649999896996,218.5054473876953,89.24211883544922,0.515923023223877,False,40.56828689575195,False,0,0,0,single,0.0,0.0,IDLE,,275.1549925804138
6,0.24,0.9228096604347229,33.19360000023153,213.9080352783203,85.20556640625,4.0458879470825195,False,35.945396423339844,False,0,0,0,double,0.0,0.0,IDLE,,280.39134235382085
7,0.28,0.791515588760376,31.931899997289293,211.21368408203125,83.21929931640625,1.998064398765564,False,34.54033279418945,False,0,0,0,double,0.0,0.0,IDLE,,280.6944374084473
8,0.32,0.9216024279594421,29.858299996703863,209.40325927734375,81.91824340820312,1.3010648488998413,False,35.16465759277344,False,0,0,0,double,0.0,0.0,IDLE,,280.6531957626343
9,0.36,0.8621563911437988,34.86400000110734,206.87539672851562,79.90216064453125,2.337536096572876,False,15.101888656616211,False,0,0,0,double,0.0,0.0,IDLE,297.59302963256835,280.3946239471436
10,0.4,0.8652721047401428,29.745699997874908,205.11300659179688,79.0693359375,1.2901257276535034,False,17.506669998168945,False,0,0,0,double,0.0,0.0,IDLE,300.2872650146484,280.06486816406255
11,0.44,0.8961819410324097,31.448100009583868,208.3848876953125,85.22145080566406,6.163824081420898,False,27.790992736816406,False,0,0,0,double,0.0,0.0,IDLE,301.29660324096676,265.0467804908753
12,0.48,0.8962821364402771,35.35780000675004,211.94717407226562,88.9440689086914,3.7230591773986816,False,31.810754776000977,False,0,0,0,double,0.0,0.0,IDLE,302.4278625488281,269.1017921447754
13,0.52,0.900304913520813,31.917100001010112,213.5387725830078,90.7313003540039,1.8199487924575806,False,31.404342651367188,False,0,0,0,double,0.0,0.0,IDLE,302.95901092529294,267.2645256042481
14,0.56,0.8903774619102478,33.513000002130866,217.55908203125,92.73201751708984,2.020784616470337,False,30.857006072998047,False,0,0,0,double,0.0,0.0,IDLE,303.20601745605467,268.30264434814455
15,0.6,0.9028592109680176,31.50090000417549,215.43008422851562,86.5223159790039,6.5155134201049805,False,17.39533042907715,False,0,0,0,double,0.0,0.0,IDLE,303.3375839233398,280.118393611908
16,0.64,0.9015552997589111,32.38220000639558,214.88623046875,82.62718963623047,4.029351711273193,False,13.3803129196167,False,0,0,0,double,0.0,0.0,IDLE,303.6360510253906,278.44337968826295
17,0.68,0.9029509425163269,28.762699992512353,214.79010009765625,80.68647766113281,2.034747362136841,False,13.273497581481934,False,0,0,0,double,0.0,0.0,IDLE,304.1710824584961,280.4454620361328
18,0.72,0.6930915117263794,32.40509999159258,214.84487915039062,79.7155532836914,0.9815645217895508,False,13.648967742919922,False,0,0,0,double,0.0,0.0,IDLE,304.773623046875,278.9160089492798
19,0.76,0.8535354733467102,30.578599995351397,218.59475708007812,80.19270324707031,0.9076096415519714,False,22.973875045776367,False,0,0,0,double,0.0,0.0,IDLE,305.0098648071289,279.2386693954468
20,0.8,0.8500128984451294,35.39679999812506,220.95266723632812,80.61228942871094,0.5607627034187317,False,23.810623168945312,False,0,0,0,double,0.0,0.0,IDLE,305.1528656005859,278.2745461463928
21,0.84,0.896605372428894,33.74250000342727,218.35963439941406,83.0349349975586,2.469794750213623,False,30.427736282348633,False,0,0,0,double,0.0,0.0,IDLE,305.1133804321289,275.958264541626
22,0.88,0.9062159657478333,29.03659999719821,219.32168579101562,87.63825225830078,4.6425700187683105,False,43.68861770629883,True,0,0,0,double,0.0,0.0,IDLE,305.0738952636719,275.34240703582765
23,0.92,0.9072486758232117,33.37059999466874,218.41102600097656,89.59393310546875,1.9893478155136108,False,46.41649627685547,True,0,0,0,double,0.0,0.0,IDLE,305.03441009521487,277.29335861206056
24,0.96,0.9135676622390747,41.57059999124613,217.50994873046875,89.7460708618164,0.15637673437595367,False,46.276344299316406,True,0,0,0,double,0.0,0.0,IDLE,304.9949249267578,274.1026122093201
25,1.0,0.8822638392448425,38.952100003371015,211.2232666015625,85.1931381225586,4.780109405517578,False,34.30292892456055,True,0,0,0,double,0.0,0.0,IDLE,304.9814682006836,285.10696535110475
26,1.04,0.8880394101142883,38.46250000060536,206.33224487304688,82.12679290771484,3.177189588546753,False,27.467252731323242,True,0,0,0,double,0.0,0.0,IDLE,304.96801147460934,278.7696055412293
27,1.08,0.8828145861625671,40.84500001044944,203.1651611328125,80.09368896484375,2.0600600242614746,False,26.47810173034668,True,0,0,0,double,0.0,0.0,IDLE,304.95455474853514,284.0708333015442
28,1.12,0.9066923260688782,43.68370000156574,200.45559692382812,79.04840087890625,1.5127400159835815,False,21.149404525756836,True,0,0,0,double,0.0,0.0,IDLE,304.94109802246095,267.68731012344364
29,1.16,0.9044380784034729,61.838499997975305,208.19549560546875,84.90193939208984,5.918180465698242,False,26.230403900146484,True,0,0,0,double,0.0,0.0,IDLE,304.9353042602539,269.0232378959656
30,1.2,0.9067867994308472,50.48200000601355,212.9691925048828,88.3554458618164,3.4801337718963623,False,31.809560775756836,True,0,0,0,double,0.0,0.0,IDLE,304.92951049804685,270.4385181427002
